VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,trip_duration_min
2,2024-01-13 18:48:45,2024-01-13 18:56:36,2.0,0.84,1.0,N,79,114,1,8.6,0.0,0.5,2.0,0.0,1.0,14.6,2.5,0.0,7.85
2,2024-01-11 16:13:24,2024-01-11 16:17:33,1.0,0.57,1.0,N,162,237,1,5.8,2.5,0.5,2.46,0.0,1.0,14.76,2.5,0.0,4.15
2,2024-01-14 12:06:02,2024-01-14 12:15:09,1.0,1.6,1.0,N,107,230,1,10.7,0.0,0.5,2.94,0.0,1.0,17.64,2.5,0.0,9.116666666666667
2,2024-01-02 02:17:39,2024-01-02 02:32:13,,5.84,,,244,263,0,27.64,0.0,0.5,6.33,0.0,1.0,37.97,,,14.566666666666666
2,2024-01-10 17:19:54,2024-01-10 17:30:59,1.0,1.35,1.0,N,237,163,1,11.4,2.5,0.5,3.58,0.0,1.0,21.48,2.5,0.0,11.083333333333334
1,2024-01-01 13:10:41,2024-01-01 13:14:38,1.0,0.9,1.0,N,237,162,1,6.5,2.5,0.5,2.1,0.0,1.0,12.6,2.5,0.0,3.9500000000000006
2,2024-01-27 23:26:40,2024-01-27 23:37:21,1.0,2.37,1.0,N,161,263,1,12.8,1.0,0.5,1.78,0.0,1.0,19.58,2.5,0.0,10.683333333333334
2,2024-01-12 08:32:17,2024-01-12 08:37:47,1.0,1.11,1.0,N,263,141,1,7.9,0.0,0.5,2.98,0.0,1.0,14.88,2.5,0.0,5.5
2,2024-01-09 08:29:19,2024-01-09 08:46:14,1.0,2.29,1.0,N,239,161,1,17.0,0.0,0.5,4.2,0.0,1.0,25.2,2.5,0.0,16.916666666666668
2,2024-01-14 00:33:20,2024-01-14 00:45:02,2.0,2.39,1.0,N,170,144,1,13.5,1.0,0.5,3.0,0.0,1.0,21.5,2.5,0.0,11.7
1,2024-01-30 09:01:13,2024-01-30 09:08:55,1.0,1.7,1.0,N,87,13,1,11.4,2.5,0.5,3.05,0.0,1.0,18.45,2.5,0.0,7.700000000000001
2,2024-01-23 09:32:07,2024-01-23 09:47:20,4.0,0.68,1.0,N,246,50,1,13.5,0.0,0.5,1.0,0.0,1.0,18.5,2.5,0.0,15.216666666666669
2,2024-01-12 00:12:56,2024-01-12 00:26:37,1.0,3.39,1.0,N,238,162,2,17.0,1.0,0.5,0.0,0.0,1.0,22.0,2.5,0.0,13.683333333333334
2,2024-01-04 10:08:26,2024-01-04 10:17:16,1.0,2.65,1.0,N,140,107,1,14.2,0.0,0.5,1.82,0.0,1.0,20.02,2.5,0.0,8.833333333333334
1,2024-01-01 21:01:34,2024-01-01 21:07:30,1.0,0.7,1.0,N,170,170,1,6.5,3.5,0.5,2.3,0.0,1.0,13.8,2.5,0.0,5.933333333333334
2,2024-01-14 00:56:43,2024-01-14 01:16:15,1.0,5.87,1.0,N,79,236,1,28.2,1.0,0.5,5.98,0.0,1.0,39.18,2.5,0.0,19.53333333333333
2,2024-01-18 22:45:03,2024-01-18 23:00:32,,2.92,,,125,230,0,18.67,0.0,0.5,0.0,0.0,1.0,22.67,,,15.483333333333336
2,2024-01-06 10:25:10,2024-01-06 10:29:25,1.0,1.33,1.0,N,79,233,1,7.9,0.0,0.5,2.38,0.0,1.0,14.28,2.5,0.0,4.250000000000001
2,2024-01-25 15:25:09,2024-01-25 15:42:01,1.0,2.56,1.0,N,161,43,1,17.0,0.0,0.5,4.2,0.0,1.0,25.2,2.5,0.0,16.866666666666667
2,2024-01-23 17:08:07,2024-01-23 17:26:31,1.0,2.87,1.0,N,230,151,1,18.4,2.5,0.5,4.98,0.0,1.0,29.88,2.5,0.0,18.4
2,2024-01-31 16:36:07,2024-01-31 16:52:21,1.0,1.08,1.0,N,163,162,1,14.9,2.5,0.5,4.28,0.0,1.0,25.68,2.5,0.0,16.233333333333334
2,2024-01-07 00:04:38,2024-01-07 00:32:10,1.0,20.78,1.0,N,132,65,1,75.8,1.0,0.5,1.0,0.0,1.0,81.05,0.0,1.75,27.53333333333333
2,2024-01-24 18:59:00,2024-01-24 19:08:51,1.0,0.91,1.0,N,162,164,1,10.0,2.5,0.5,3.3,0.0,1.0,19.8,2.5,0.0,9.85
2,2024-01-04 20:10:17,2024-01-04 20:16:04,1.0,1.12,1.0,N,90,107,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0,5.783333333333333
1,2024-01-27 13:23:29,2024-01-27 13:27:43,,1.0,,,142,239,0,7.2,0.0,0.5,2.24,0.0,1.0,13.44,,,4.233333333333333
2,2024-01-20 14:08:30,2024-01-20 14:13:19,3.0,0.69,1.0,N,234,68,2,6.5,0.0,0.5,0.0,0.0,1.0,10.5,2.5,0.0,4.816666666666666
2,2024-01-04 18:06:06,2024-01-04 18:18:29,1.0,1.42,1.0,N,140,236,1,12.1,2.5,0.5,1.8,0.0,1.0,20.4,2.5,0.0,12.383333333333333
1,2024-01-18 14:29:56,2024-01-18 14:37:58,1.0,0.9,1.0,N,230,161,1,8.6,2.5,0.5,2.5,0.0,1.0,15.1,2.5,0.0,8.033333333333335
1,2024-01-24 17:35:09,2024-01-24 17:48:44,1.0,1.6,1.0,N,140,233,1,12.1,5.0,0.5,3.7,0.0,1.0,22.3,2.5,0.0,13.583333333333334
2,2024-01-12 09:37:07,2024-01-12 09:58:21,1.0,3.61,1.0,N,143,234,1,22.6,0.0,0.5,5.32,0.0,1.0,31.92,2.5,0.0,21.23333333333333
1,2024-01-07 13:47:58,2024-01-07 14:00:27,1.0,1.8,1.0,N,107,249,2,13.5,2.5,0.5,0.0,0.0,1.0,17.5,2.5,0.0,12.483333333333333
2,2024-01-12 19:26:56,2024-01-12 20:05:04,1.0,18.16,2.0,N,132,164,2,70.0,5.0,0.5,0.0,6.94,1.0,87.69,2.5,1.75,38.13333333333333
2,2024-01-03 14:42:34,2024-01-03 14:57:06,1.0,1.45,1.0,N,140,162,1,13.5,0.0,0.5,4.38,0.0,1.0,21.88,2.5,0.0,14.533333333333331
2,2024-01-01 13:59:03,2024-01-01 14:13:59,1.0,2.49,1.0,N,186,114,1,16.3,0.0,0.5,4.06,0.0,1.0,24.36,2.5,0.0,14.933333333333334
2,2024-01-21 02:46:43,2024-01-21 02:59:18,2.0,2.74,1.0,N,100,238,2,15.6,1.0,0.5,0.0,0.0,1.0,20.6,2.5,0.0,12.583333333333334
1,2024-01-31 11:25:29,2024-01-31 11:39:14,1.0,1.1,1.0,N,170,161,1,12.8,2.5,0.5,3.35,0.0,1.0,20.15,2.5,0.0,13.75
2,2024-01-04 14:38:32,2024-01-04 15:10:41,1.0,7.28,1.0,N,236,125,1,38.0,0.0,0.5,2.0,0.0,1.0,44.0,2.5,0.0,32.150000000000006
2,2024-01-19 02:52:31,2024-01-19 02:56:57,1.0,1.02,1.0,N,164,90,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0,4.433333333333334
2,2024-01-31 09:42:31,2024-01-31 10:04:16,,3.14,,,238,68,0,18.79,0.0,0.5,2.0,0.0,1.0,24.79,,,21.75
1,2024-01-08 19:19:48,2024-01-08 19:26:43,1.0,1.0,1.0,N,239,238,1,8.6,5.0,0.5,1.5,0.0,1.0,16.6,2.5,0.0,6.916666666666667
1,2024-01-29 19:25:53,2024-01-29 19:46:28,1.0,9.5,1.0,N,138,141,1,37.3,11.75,0.5,2.0,6.94,1.0,59.49,2.5,1.75,20.58333333333333
2,2024-01-11 09:43:24,2024-01-11 10:15:04,2.0,2.15,1.0,N,186,162,1,26.1,0.0,0.5,6.02,0.0,1.0,36.12,2.5,0.0,31.66666666666667
1,2024-01-30 12:12:32,2024-01-30 12:50:51,1.0,6.5,1.0,N,161,217,2,33.8,2.5,0.5,0.0,0.0,1.0,37.8,2.5,0.0,38.31666666666667
2,2024-01-01 18:45:24,2024-01-01 19:02:22,1.0,9.02,1.0,N,138,141,2,35.2,5.0,0.5,0.0,6.94,1.0,52.89,2.5,1.75,16.96666666666667
2,2024-01-19 18:06:16,2024-01-19 18:08:24,1.0,0.44,1.0,N,239,239,1,4.4,2.5,0.5,1.64,0.0,1.0,12.54,2.5,0.0,2.1333333333333333
1,2024-01-07 14:11:18,2024-01-07 14:24:44,2.0,2.8,1.0,N,43,230,1,14.2,2.5,0.5,3.6,0.0,1.0,21.8,2.5,0.0,13.433333333333334
1,2024-01-22 06:36:35,2024-01-22 06:44:57,1.0,1.5,1.0,N,236,141,1,10.7,2.5,0.5,2.9,0.0,1.0,17.6,2.5,0.0,8.366666666666667
1,2024-01-10 22:10:18,2024-01-10 22:21:48,2.0,2.1,1.0,N,230,239,1,13.5,3.5,0.5,3.7,0.0,1.0,22.2,2.5,0.0,11.5
2,2024-01-12 15:19:59,2024-01-12 15:27:35,1.0,1.59,1.0,N,163,246,1,10.0,0.0,0.5,2.8,0.0,1.0,16.8,2.5,0.0,7.6
2,2024-01-27 21:58:57,2024-01-27 22:08:04,1.0,1.58,1.0,N,234,230,1,10.7,1.0,0.5,2.0,0.0,1.0,17.7,2.5,0.0,9.116666666666667
2,2024-01-25 18:33:29,2024-01-25 18:56:44,1.0,3.04,1.0,N,246,232,1,21.2,2.5,0.5,5.54,0.0,1.0,33.24,2.5,0.0,23.25
1,2024-01-18 20:38:41,2024-01-18 20:42:07,1.0,0.6,1.0,N,237,163,1,5.8,3.5,0.5,2.15,0.0,1.0,12.95,2.5,0.0,3.433333333333333
2,2024-01-20 12:39:01,2024-01-20 12:50:52,6.0,2.01,1.0,N,239,237,1,14.2,0.0,0.5,3.64,0.0,1.0,21.84,2.5,0.0,11.85
2,2024-01-05 23:58:38,2024-01-06 00:06:48,1.0,1.75,1.0,N,113,87,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,8.166666666666668
1,2024-01-02 16:46:39,2024-01-02 16:57:11,1.0,2.1,1.0,N,143,237,1,12.1,5.0,0.5,1.0,0.0,1.0,19.6,2.5,0.0,10.533333333333331
1,2024-01-27 21:33:37,2024-01-27 21:45:56,1.0,1.4,1.0,N,249,144,1,10.7,3.5,0.5,3.15,0.0,1.0,18.85,2.5,0.0,12.316666666666666
1,2024-01-15 17:40:03,2024-01-15 17:51:43,1.0,2.0,1.0,N,170,237,1,12.8,2.5,0.5,2.0,0.0,1.0,18.8,2.5,0.0,11.666666666666666
2,2024-01-27 13:49:57,2024-01-27 13:57:21,2.0,0.84,1.0,N,237,229,1,8.6,0.0,0.5,2.52,0.0,1.0,15.12,2.5,0.0,7.4
1,2024-01-31 21:21:27,2024-01-31 21:28:20,0.0,0.7,1.0,N,141,237,1,7.9,3.5,0.5,1.94,0.0,1.0,14.84,2.5,0.0,6.883333333333334
2,2024-01-14 09:59:59,2024-01-14 10:08:09,4.0,0.73,1.0,N,50,48,2,8.6,0.0,0.5,0.0,0.0,1.0,12.6,2.5,0.0,8.166666666666668
2,2024-01-17 18:37:59,2024-01-17 18:50:21,1.0,2.53,1.0,N,151,237,1,14.9,2.5,0.5,4.28,0.0,1.0,25.68,2.5,0.0,12.366666666666667
1,2024-01-09 10:28:40,2024-01-09 10:41:39,1.0,3.3,1.0,N,140,234,1,17.7,2.5,0.5,4.3,0.0,1.0,26.0,2.5,0.0,12.983333333333333
